Month,Origin,Total Number of Flights,Average Depature Delay,Total National Average Departure Delay
Oct-08,SEA,2998,4.480653769179453,59.60123532383457
Oct-08,SFO,3669,6.10656854728809,59.60123532383457
Nov-08,ATL,2586,8.061871616395978,80.58616969744212
Nov-08,DFW,1772,8.778781038374717,80.58616969744212
Nov-08,EWR,2325,13.173763440860215,80.58616969744212
Nov-08,JFK,3031,7.214120752226988,80.58616969744212
Nov-08,LAS,3396,10.812426383981155,80.58616969744212
Nov-08,LAX,4723,5.764768155833157,80.58616969744212
Nov-08,ORD,3163,7.850458425545368,80.58616969744212
Nov-08,PHX,2771,5.303861421869361,80.58616969744212
Nov-08,SEA,2569,5.890618917866874,80.58616969744212
Nov-08,SFO,3293,7.735499544488309,80.58616969744212
Dec-08,ATL,2874,12.925191370911621,203.5563703768588
Dec-08,DFW,1838,17.410772578890096,203.5563703768588
Dec-08,EWR,2588,28.201700154559507,203.5563703768588
Dec-08,JFK,3072,17.296549479166668,203.5563703768588
Dec-08,LAS,2875,20.329391304347826,203.5563703768588
Dec-08,LAX,4774,17.51026392961877,203.5563703768588
Dec-08,ORD,3304,29.2136803874092,203.5563703768588
Dec-08,PHX,2562,16.03239656518345,203.5563703768588
Dec-08,SEA,2713,26.39292296350903,203.5563703768588
Dec-08,SFO,3347,18.243501643262622,203.5563703768588
